Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Renna P.","9279643000;","Decision model to support the SMEs decision to participate or leave a collaborative network",2013,"International Journal of Production Research","51","7",,"1973","1983",,19,"10.1080/00207543.2012.701773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873445461&doi=10.1080%2f00207543.2012.701773&partnerID=40&md5=baae00e3b3f12a45e095db2eec5c46e6","Dipartimento di Ingegneria e Fisica DellAmbiente (DIFA), Università della Basilicata, Potenza, Italy","Renna, P., Dipartimento di Ingegneria e Fisica DellAmbiente (DIFA), Università della Basilicata, Potenza, Italy","Enterprises need to adopt new business paradigms in order to make a rapid response to market changes and improve the competitiveness. The development of information and communication technology allows the support of new business paradigms such as extended enterprises, virtual organisations, regional clusters, etc. The research proposed concerns the study of a dynamic network in which the partners change in short term periods. The model proposed supports the enterprises in the decisions to participate or exit in a network of enterprises. The model is based on the definition of a set of rules that operate with local information to take the decisions. The local information is the output of the collaboration process; this means that the approach proposed integrates the collaboration methodology and the decision model. This environment is related to independent plants that cooperate with reduced information sharing. A simulation environment is developed to test the approach proposed. The simulation results show that the proposed approach is a very promising tool to support the enterprise's participation decisions. © 2013 Taylor & Francis Group, LLC.","decision support system; dynamic network; information sharing; network enterprises; simulation environment","Collaboration process; Collaborative network; Decision models; Dynamic network; Extended enterprise; Information and Communication Technologies; Information sharing; Local information; Market changes; Rapid response; Regional clusters; Set of rules; Short term; Simulation environment; Virtual organisations; Artificial intelligence; Decision support systems; Industry; Information analysis; Information technology; Models; Plants (botany); Competition",Article,"Final","",Scopus,2-s2.0-84873445461
"Wang M.","55555431800;","Predefined three tier business intelligence architecture in healthcare enterprise",2013,"Journal of Medical Systems","37","2","9928","","",,4,"10.1007/s10916-013-9928-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872276635&doi=10.1007%2fs10916-013-9928-5&partnerID=40&md5=42928e1c7716ec89fc5d1253d719678d","Integration Service and Decision Support, Steward HealthCare System, 30 Perwal Street, Westwood, MA 02090, United States","Wang, M., Integration Service and Decision Support, Steward HealthCare System, 30 Perwal Street, Westwood, MA 02090, United States","Business Intelligence (BI) has caused extensive concerns and widespread use in gathering, processing and analyzing data and providing enterprise users the methodology to make decisions. Different from traditional BI architecture, this paper proposes a new BI architecture, Top-Down Scalable BI architecture with defining mechanism for enterprise decision making solutions and aims at establishing a rapid, consistent, and scalable multiple applications on multiple platforms of BI mechanism. The two opposite information flows in our BI architecture offer the merits of having the high level of organizational prospects and making full use of the existing resources. We also introduced the avg-bed-waiting-time factor to evaluate hospital care capacity. © 2013 Springer Science+Business Media New York.","Business intelligence; Data repository; Data warehousing; Predefined; Scalable","architecture; article; business intelligence architecture; data base; data mining; data processing; decision support system; emergency ward; health care; health care organization; hospital care; information processing; information technology; length of stay; methodology; productivity; artificial intelligence; health care facility; organization; organization and management; Artificial Intelligence; Decision Making, Organizational; Decision Support Systems, Management; Health Facilities",Article,"Final","",Scopus,2-s2.0-84872276635
"Abbasi M.-A., Liu H.","36681990500;7409751811;","Measuring user credibility in social media",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7812 LNCS",,,"441","448",,80,"10.1007/978-3-642-37210-0_48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874813795&doi=10.1007%2f978-3-642-37210-0_48&partnerID=40&md5=dc6633522817ee9460abc0a623ca552b","Computer Science and Engineering, Arizona State University, United States","Abbasi, M.-A., Computer Science and Engineering, Arizona State University, United States; Liu, H., Computer Science and Engineering, Arizona State University, United States","People increasingly use social media to get first-hand news and information. During disasters such as Hurricane Sandy and the tsunami in Japan people used social media to report injuries as well as send out their requests. During social movements such as Occupy Wall Street (OWS) and the Arab Spring, people extensively used social media to organize their events and spread the news. As more people rely on social media for political, social, and business events, it is more susceptible to become a place for evildoers to use it to spread misinformation and rumors. Therefore, users have the challenge to discern which piece of information is credible or not. They also need to find ways to assess the credibility of information. This problem becomes more important when the source of the information is not known to the consumer. In this paper we propose a method to measure user credibility in social media. We study the situations in which we cannot assess the credibility of the content or the credibility of the user (source of the information) based on the user's profile. We propose the CredRank algorithm to measure user credibility in social media. The algorithm analyzes social media users' online behavior to measure their credibility. © 2013 Springer-Verlag.","Behavior Analysis; Information Credibility; Misinformation","Behavior analysis; Information credibilities; Misinformation; Online behavior; Social media; Social movements; User's profiles; Wall streets; Artificial intelligence; Algorithms",Conference Paper,"Final","",Scopus,2-s2.0-84874813795
"Pastuszak J., Orłowski C.","57222240299;57204234589;","Model of rules for IT organization evolution",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7770 LNCS",,,"55","78",,8,"10.1007/978-3-642-36815-8_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874809283&doi=10.1007%2f978-3-642-36815-8_3&partnerID=40&md5=9afe2bd3c036441daea2f499cd7a0d84","Technical University of Gdansk, Faculty of Management, Information Technology Management Department, Poland","Pastuszak, J., Technical University of Gdansk, Faculty of Management, Information Technology Management Department, Poland; Orłowski, C., Technical University of Gdansk, Faculty of Management, Information Technology Management Department, Poland","The aim of this paper is to introduce the Model of Rules for IT Organization Evolution which shall be in compliance with the Generic IT Organization Evolution Model. Due to its general nature, a set of practical adjustments is proposed in order to adapt the Generic Model to the IT Service Management domain. Further, two sets of rules describing the evolution of the IT Service Management area are defined based on two types of rules introduced herein (i.e. descriptive and dynamic ones). Moreover, the results of business verification of the model are discussed. Finally, a new model of rules, carefully redesigned according to the verification stage, is proposed. In this paper two levels of rules are introduced - operational and tactical ones, and usefulness of the Event-Driven Process Chain notation for development of the final version of the model of rules is presented. © 2013 Springer-Verlag.","Event-Driven Process Chain notation; IT Organization Evolution Model; IT Service Management; Rule-based Expert System","Event driven process chain; General nature; Generic models; IT organizations; IT service management; Rule-based expert system; Artificial intelligence; Expert systems",Conference Paper,"Final","",Scopus,2-s2.0-84874809283
"García N., Puente J., Fernández I., Priore P.","7202945142;7005246131;35492779600;6701465358;","Supplier selection model for commodities procurement. Optimised assessment using a fuzzy decision support system",2013,"Applied Soft Computing Journal","13","4",,"1939","1951",,27,"10.1016/j.asoc.2012.12.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874744584&doi=10.1016%2fj.asoc.2012.12.008&partnerID=40&md5=662eaedbd51294181bf5dcf9a034af3f","Department of Business Administration, University of Oviedo, Gijon Polytechnic School of Engineering, Campus de Viesques s/n, Gijón. 33204 Asturias, Spain","García, N., Department of Business Administration, University of Oviedo, Gijon Polytechnic School of Engineering, Campus de Viesques s/n, Gijón. 33204 Asturias, Spain; Puente, J., Department of Business Administration, University of Oviedo, Gijon Polytechnic School of Engineering, Campus de Viesques s/n, Gijón. 33204 Asturias, Spain; Fernández, I., Department of Business Administration, University of Oviedo, Gijon Polytechnic School of Engineering, Campus de Viesques s/n, Gijón. 33204 Asturias, Spain; Priore, P., Department of Business Administration, University of Oviedo, Gijon Polytechnic School of Engineering, Campus de Viesques s/n, Gijón. 33204 Asturias, Spain","The selection of the most suitable supplier for a procurement process has a markedly strategic aspect for a company. Within this ambit, the literature review shows a lack of uniformity in the terms used to define the phases or components of a procurement process as well as in the election of the critical variables used to select the most suitable supplier. Furthermore, this literature shows a wide variety of individual and integrated methodologies that have been developed so far in an attempt to optimise such a selection. This work proposes a new suppliers' evaluation-and-selection model. The model homogenises the terminology involved in such processes and fulfils three main goals. First, it allows the joint assessment and comparison among new and historical suppliers, identifying the key evaluation factors in each case. Second, it allows the inherent knowledge about evaluation to be flexibly adapted to the type of product to be purchased-in this paper ""basic products""- according to Kraljic's terminology (a major issue in procurement management and not taken into account by any of the models proposed so far). Finally, a FDSS is proposed to make the model operational. The proposed method is robust enough to improve the main shortcomings of more simplistic methods (e.g. those based on weights) and eases the comprehension of the embedded knowledge within the supplier evaluation processes. Simultaneously, this method avoids the complexity of real-life implementation that many of some more sophisticated hybrid methods proposed in recent times-not free of certain additional disadvantages. Finally, the practical usefulness of the proposed method is ascertained through an empirical test in a specific business environment. © 2013 Elsevier B.V.","Evaluating purchasing performance; Fuzzy decision support system; Fuzzy inference; Multi-criteria decision making; Procurement processes; Supplier management (evaluation and selection)","Evaluating purchasing performance; Fuzzy decision support system; Multi-criteria decision making; Procurement process; Supplier management; Artificial intelligence; Decision support systems; Fuzzy inference; Models; Terminology; Decision making",Article,"Final","",Scopus,2-s2.0-84874744584
"Xiang G., Yanxiao L., Hua G.","55611858900;16243011500;37055749100;","Knowledge management-gaining perspective",2013,"Proceedings of the 2013 3rd International Conference on Intelligent System Design and Engineering Applications, ISDEA 2013",,,"6455515","921","923",,1,"10.1109/ISDEA.2012.219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874506298&doi=10.1109%2fISDEA.2012.219&partnerID=40&md5=56c7081873efb46e1b7cabc542b7479d","Economic and Management School, Beijing University of Technology, 100022, China; Information and Navigation Institute, Air Force Engineering University, Xi'an, Shaanxi, 710077, China","Xiang, G., Economic and Management School, Beijing University of Technology, 100022, China; Yanxiao, L., Information and Navigation Institute, Air Force Engineering University, Xi'an, Shaanxi, 710077, China; Hua, G., Information and Navigation Institute, Air Force Engineering University, Xi'an, Shaanxi, 710077, China","Knowledge management is seen by many to be a prerequisite for the successful organization. As a multi-disciplined approach to achieving organizational objectives by making the best use of knowledge, its gaining value had been recognized by more organizations and adopted to leverage business efficiency and effectiveness. Exploring the importance of knowledge management in the new businesis enviroemnt sof great necessity and therefore will bring significent evolution to the operation. © 2012 IEEE.","Information technology; Knowledge asset artificial intelligence; Knowledge management","Business efficiency; Knowledge assets; Information technology; Intelligent systems; Systems analysis; Knowledge management",Conference Paper,"Final","",Scopus,2-s2.0-84874506298
"Cecilia J.M., Nisbet A., Amos M., García J.M., Ujaldón M.","35271375900;34880487200;36726116700;55684869900;6602895421;","Enhancing GPU parallelism in nature-inspired algorithms",2013,"Journal of Supercomputing","63","3",,"773","789",,15,"10.1007/s11227-012-0770-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886722730&doi=10.1007%2fs11227-012-0770-1&partnerID=40&md5=4c56ee81f7b88a0979b9e36cd073038c","Departamento de Informática, Escuela Politécnica, Universidad Católica San Antonio Murcia, Campus de los Jerónimos S/N, Guadalupe 30107, Murcia, Spain; School of Computing, Mathematics and Digital Technology, Manchester Metropolitan University, Chester Street, Manchester, M1 5GD, United Kingdom; Facultad de Informática, Universidad de Murcia, Campus de Espinardo, 30080 Murcia, Spain; Computer Architecture Department, ETSI Informática, University of Málaga, Bulevar Louis Pasteur, s/n, 29071 Málaga, Spain","Cecilia, J.M., Departamento de Informática, Escuela Politécnica, Universidad Católica San Antonio Murcia, Campus de los Jerónimos S/N, Guadalupe 30107, Murcia, Spain; Nisbet, A., School of Computing, Mathematics and Digital Technology, Manchester Metropolitan University, Chester Street, Manchester, M1 5GD, United Kingdom; Amos, M., School of Computing, Mathematics and Digital Technology, Manchester Metropolitan University, Chester Street, Manchester, M1 5GD, United Kingdom; García, J.M., Facultad de Informática, Universidad de Murcia, Campus de Espinardo, 30080 Murcia, Spain; Ujaldón, M., Computer Architecture Department, ETSI Informática, University of Málaga, Bulevar Louis Pasteur, s/n, 29071 Málaga, Spain","We present GPU implementations of two different nature-inspired optimization methods for well-known optimization problems. Ant Colony Optimization (ACO) is a two-stage population-based method modelled on the foraging behaviour of ants, while P systems provide a high-level computational modelling framework that combines the structure and dynamic aspects of biological systems (in particular, their parallel and non-deterministic nature). Our methods focus on exploiting data parallelism and memory hierarchy to obtain GPU factor gains surpassing 20x for any of the two stages of the ACO algorithm, and 16x for P systems when compared to sequential versions running on a single-threaded high-end CPU. Additionally, we compare performance between GPU generations to validate hardware enhancements introduced by Nvidia's Fermi architecture. © 2012 Springer Science+Business Media, LLC.","ACO; Bioinspired methods; GPUs; HPC; P systems","ACO; Bio-inspired methods; GPUs; HPC; P systems; Ant colony optimization; Artificial intelligence; Biological systems; Program processors; Algorithms",Article,"Final","",Scopus,2-s2.0-84886722730
"Ekpenyong M., Urua E.-A.","28567702600;28667515900;","Agent-based framework for intelligent natural language interface",2013,"Telecommunication Systems","52","3",,"1423","1433",,3,"10.1007/s11235-011-9620-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879795346&doi=10.1007%2fs11235-011-9620-3&partnerID=40&md5=fb8d4f0f9e85ff707dc8510175331ba5","Department of Computer Science, University of Uyo, Uyo, Nigeria; Department of Linguistics and Nigerian Languages, University of Uyo, Uyo, Nigeria","Ekpenyong, M., Department of Computer Science, University of Uyo, Uyo, Nigeria; Urua, E.-A., Department of Linguistics and Nigerian Languages, University of Uyo, Uyo, Nigeria","In this contribution, we present a framework for an intelligent natural language interface (NLI) that suits the need of embedded platform, using agent-based approach. The proposed framework is motivated by an ongoing speech technology research project aimed at developing a generic synthesizer for information disseminating systems in local languages. The architecture is based on various forms of action representations with a sequence of transformations that converts users' input (text or speech) into a suitable set of agent actions that produce response to the input. This approach incrementally minimizes the complexity and ambiguity of the natural language input by using predefined sets of interim actions at different levels, hence, increasing the robustness and reliability of the NLI. © 2011 Springer Science+Business Media, LLC.","AI; Human-agent communication; Intelligent systems; NLP","Action representations; Agent-based approach; Agent-based framework; Embedded platforms; Human-agent communication; Information disseminating; Natural language interfaces; NLP; Artificial intelligence; Intelligent systems; Natural language processing systems",Article,"Final","",Scopus,2-s2.0-84879795346
"Guo W.-S., Yang G.-W., Hung W.N.N., Song X.","7401967407;8833946600;7201803608;7402269916;","Complete boolean satisfiability solving algorithms based on local search",2013,"Journal of Computer Science and Technology","28","2",,"247","254",,2,"10.1007/s11390-013-1326-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879643198&doi=10.1007%2fs11390-013-1326-4&partnerID=40&md5=df61d612658cb1a5294b27c16dfaeafa","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China; Synopsys Inc., Mountain View, CA 94043, United States; Department of Electrical and Computer Engineering, Portland State University, Portland 97207, United States","Guo, W.-S., School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China; Yang, G.-W., School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China; Hung, W.N.N., Synopsys Inc., Mountain View, CA 94043, United States; Song, X., Department of Electrical and Computer Engineering, Portland State University, Portland 97207, United States","Boolean satisfiability (SAT) is a well-known problem in computer science, artificial intelligence, and operations research. This paper focuses on the satisfiability problem of Model RB structure that is similar to graph coloring problems and others. We propose a translation method and three effective complete SAT solving algorithms based on the characterization of Model RB structure. We translate clauses into a graph with exclusive sets and relative sets. In order to reduce search depth, we determine search order using vertex weights and clique in the graph. The results show that our algorithms are much more effective than the best SAT solvers in numerous Model RB benchmarks, especially in those large benchmark instances. © 2013 Springer Science+Business Media New York & Science Press, China.","Boolean satisfiability; clique; complete search; local search; set","Boolean satisfiability; clique; Complete search; Local search; set; Artificial intelligence; Benchmarking; Graph theory; Operations research; Algorithms",Article,"Final","",Scopus,2-s2.0-84879643198
"Barrett C., Deters M., De Moura L., Oliveras A., Stump A.","11141230000;6701429046;23396587300;6603769027;11141761400;","6 Years of SMT-COMP",2013,"Journal of Automated Reasoning","50","3",,"243","277",,38,"10.1007/s10817-012-9246-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878563375&doi=10.1007%2fs10817-012-9246-5&partnerID=40&md5=6c3bb32da85cfa1987def416f0afe982","New York University, 70 Washington Square South, New York, NY 10012, United States; Microsoft Research, Redmond, WA 98052, United States; Technical University of Catalonia, Barcelona, Spain; University of Iowa, 101 Jessup Hall, Iowa City, IA 52242, United States","Barrett, C., New York University, 70 Washington Square South, New York, NY 10012, United States; Deters, M., New York University, 70 Washington Square South, New York, NY 10012, United States; De Moura, L., Microsoft Research, Redmond, WA 98052, United States; Oliveras, A., Technical University of Catalonia, Barcelona, Spain; Stump, A., University of Iowa, 101 Jessup Hall, Iowa City, IA 52242, United States","The annual Satisfiability Modulo Theories Competition (SMT-COMP) was initiated in 2005 in order to stimulate the advance of state-of-the-art techniques and tools developed by the Satisfiability Modulo Theories (SMT) community. This paper summarizes the first six editions of the competition. We present the evolution of the competition's organization and rules, show how the state of the art has improved over the course of the competition, and discuss the impact SMT-COMP has had on the SMT community and beyond. Additionally, we include an exhaustive list of all competitors, and present experimental results showing significant improvement in SMT solvers during these six years. Finally, we analyze to what extent the initial goals of the competition have been achieved, and sketch future directions for the competition. © 2012 Springer Science+Business Media B.V.","Competition; Experimental evaluation; SAT Modulo Theories","Artificial intelligence; Automata theory; Competition; Software engineering; Exhaustive lists; Experimental evaluation; Sat modulo theories; Satisfiability modulo Theories; Smt solvers; State of the art; State-of-the-art techniques; Formal logic",Article,"Final","",Scopus,2-s2.0-84878563375
"Weber M., Neri F., Tirronen V.","55468023600;8729046500;19639389400;","A study on scale factor/crossover interaction in distributed differential evolution",2013,"Artificial Intelligence Review","39","3",,"195","224",,27,"10.1007/s10462-011-9267-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876157565&doi=10.1007%2fs10462-011-9267-1&partnerID=40&md5=f36943c7318cd5d04b085650890387c9","Department of Mathematical Information Technology, University of Jyväskylä, Agora, P.O. Box 35, Jyväskylä 40014, Finland","Weber, M., Department of Mathematical Information Technology, University of Jyväskylä, Agora, P.O. Box 35, Jyväskylä 40014, Finland; Neri, F., Department of Mathematical Information Technology, University of Jyväskylä, Agora, P.O. Box 35, Jyväskylä 40014, Finland; Tirronen, V., Department of Mathematical Information Technology, University of Jyväskylä, Agora, P.O. Box 35, Jyväskylä 40014, Finland","This paper studies the use of multiple scale factor values within distributed Differential Evolution structures employing the so-called exponential crossover. Four different scale factor schemes are proposed, tested, compared and analyzed. Two schemes simply employ multiple scale factor values and two also include an update logic during the evolution. The four schemes have been integrated for comparison within three recently proposed distributed Differential Evolution structures and tested on several various test problems. The results are then compared to those of a previous study where the so-called binomial crossover was employed. Numerical results show that, when associated to the exponential crossover, the employment of multiple scale factors is not systematically beneficial and in some cases even detrimental to the performance of the algorithm. The exponential crossover accentuates the exploitative character of the Differential Evolution, which cannot always be counterbalanced by the increase in the explorative aspect of the algorithm introduced by the employment of multiple scale factor values. © 2011 Springer Science+Business Media B.V.","Differential evolution; Distributed algorithms; Evolutionary algorithms; Scale factor","Different scale; Differential Evolution; Multiple scale factors; Numerical results; Scale Factor; Test problem; Artificial intelligence; Parallel algorithms; Evolutionary algorithms",Article,"Final","",Scopus,2-s2.0-84876157565
"Jayadeva, Shah S., Bhaya A., Kothari R., Chandra S.","55580544200;7403887658;7004682695;7102424796;35589570700;","Ants find the shortest path: A mathematical proof",2013,"Swarm Intelligence","7","1",,"43","62",,15,"10.1007/s11721-013-0076-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874677125&doi=10.1007%2fs11721-013-0076-9&partnerID=40&md5=07a89680448339e7c81c5890d9b1fd86","Department of Electrical Engineering, Indian Institute of Technology, Delhi, Hauz Khas, New Delhi, 110016, India; Thomson Reuters Corp. R and D, 195, Broadway, NY, 10007, United States; Federal University of Rio de Janeiro, Department of Electrical Engineering, PEE/COPPE/UFRJ, P.O. Box 68504, Rio de Janeiro, RJ, 21945-970, Brazil; IBM India Research Lab., 4 Block C, Institutional Area, Vasant Kunj, New Delhi, 110070, India","Jayadeva, Department of Electrical Engineering, Indian Institute of Technology, Delhi, Hauz Khas, New Delhi, 110016, India; Shah, S., Thomson Reuters Corp. R and D, 195, Broadway, NY, 10007, United States; Bhaya, A., Federal University of Rio de Janeiro, Department of Electrical Engineering, PEE/COPPE/UFRJ, P.O. Box 68504, Rio de Janeiro, RJ, 21945-970, Brazil; Kothari, R., IBM India Research Lab., 4 Block C, Institutional Area, Vasant Kunj, New Delhi, 110070, India; Chandra, S., Department of Electrical Engineering, Indian Institute of Technology, Delhi, Hauz Khas, New Delhi, 110016, India","In the most basic application of Ant Colony Optimization (ACO), a set of artificial ants find the shortest path between a source and a destination. Ants deposit pheromone on paths they take, preferring paths that have more pheromone on them. Since shorter paths are traversed faster, more pheromone accumulates on them in a given time, attracting more ants and leading to reinforcement of the pheromone trail on shorter paths. This is a positive feedback process that can also cause trails to persist on longer paths, even when a shorter path becomes available. To counteract this persistence on a longer path, ACO algorithms employ remedial measures, such as using negative feedback in the form of uniform evaporation on all paths. Obtaining high performance in ACO algorithms typically requires fine tuning several parameters that govern pheromone deposition and removal. This paper proposes a new ACO algorithm, called EigenAnt, for finding the shortest path between a source and a destination, based on selective pheromone removal that occurs only on the path that is actually chosen for each trip. We prove that the shortest path is the only stable equilibrium for EigenAnt, which means that it is maintained for arbitrary initial pheromone concentrations on paths, and even when path lengths change with time. The EigenAnt algorithm uses only two parameters and does not require them to be finely tuned. Simulations that illustrate these properties are provided. © 2013 Springer Science+Business Media New York.","Ant Colony Optimization; Collective foraging; Distributed optimization; Optimization; Pheromone; Selective removal of pheromone; Self-organization; Stability analysis; Stagnation; Swarm intelligence","Feedback; Graph theory; Optimization; Parameter estimation; Swarm intelligence; Collective foraging; Distributed optimization; Pheromone; Selective removal; Self organizations; Stability analysis; Stagnation; Ant colony optimization",Article,"Final","",Scopus,2-s2.0-84874677125
"Li L., Liu T., Xu K.","57116631200;7405911086;56799555700;","Variable-centered consistency in model RB",2013,"Minds and Machines","23","1",,"95","103",,2,"10.1007/s11023-012-9270-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874665119&doi=10.1007%2fs11023-012-9270-6&partnerID=40&md5=a39f4d1a3416789c5a3e649e7229b022","Key Laboratory of High Confidence Software Technologies, Peking University, Ministry of Education, Beijing 100871, China; National Laboratory of Software Development Environment, Beihang University, Beijing 100191, China","Li, L., Key Laboratory of High Confidence Software Technologies, Peking University, Ministry of Education, Beijing 100871, China; Liu, T., Key Laboratory of High Confidence Software Technologies, Peking University, Ministry of Education, Beijing 100871, China; Xu, K., National Laboratory of Software Development Environment, Beihang University, Beijing 100191, China","Model RB is a model of random constraint satisfaction problems, which exhibits exact satisfiability phase transition and many hard instances, both experimentally and theoretically. Benchmarks based on Model RB have been successfully used by various international algorithm competitions and many research papers. In a previous work, Xu and Li defined two notions called i-constraint assignment tuple and flawed i-constraint assignment tuple to show an exponential resolution complexity of Model RB. These two notions are similar to some kind of consistency in constraint satisfaction problems, but seem different from all kinds of consistency so far known in literatures. In this paper, we explicitly define this kind of consistency, called variable-centered consistency, and show an upper bound on a parameter in Model RB, such that up to this bound the typical instances of Model RB are variable-centered consistent. © 2012 Springer Science+Business Media B.V.","Consistency; Constraint satisfaction problems; Model RB","Artificial intelligence; Philosophical aspects; Consistency; Exact satisfiability; Hard instances; Random constraint satisfaction problems; Research papers; Resolution complexity; Upper Bound; Constraint satisfaction problems",Article,"Final","",Scopus,2-s2.0-84874665119
"Jordt A., Koch R.","36655978200;7403189785;","Direct model-based tracking of 3D object deformations in depth and color video",2013,"International Journal of Computer Vision","102","1-3",,"239","255",,22,"10.1007/s11263-012-0572-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874649143&doi=10.1007%2fs11263-012-0572-1&partnerID=40&md5=be9bd4c2477ce7b85fc84d4240e44acf","Multimedia Information Processing Group, University of Kiel, Hermann-Rodewald-Str. 3, 24098 Kiel, Germany","Jordt, A., Multimedia Information Processing Group, University of Kiel, Hermann-Rodewald-Str. 3, 24098 Kiel, Germany; Koch, R., Multimedia Information Processing Group, University of Kiel, Hermann-Rodewald-Str. 3, 24098 Kiel, Germany","The tracking of deformable objects using video data is a demanding research topic due to the inherent ambiguity problems, which can only be solved using additional assumptions about the deformation. Image feature points, commonly used to approach the deformation problem, only provide sparse information about the scene at hand. In this paper a tracking approach for deformable objects in color and depth video is introduced that does not rely on feature points or optical flow data but employs all the input image information available to find a suitable deformation for the data at hand. A versatile NURBS based deformation space is defined for arbitrary complex triangle meshes, decoupling the object surface complexity from the complexity of the deformation. An efficient optimization scheme is introduced that is able to calculate results in real-time (25 Hz). Extensive synthetic and real data tests of the algorithm and its features show the reliability of this approach. © 2012 Springer Science+Business Media, LLC.","Deformation; Range video; Tracking","3D object; Color video; Complex triangles; Deformable object; Deformation problems; Deformation space; Depth videos; Image feature points; Input image; Model-based tracking; Object surface; Optimization scheme; Range video; Research topics; Synthetic and real data; Tracking approaches; Video data; Artificial intelligence; Software engineering; Surface discharges; Deformation",Article,"Final","",Scopus,2-s2.0-84874649143
"Zhang J.","23494427900;","A lewisian logic of causal counterfactuals",2013,"Minds and Machines","23","1",,"77","93",,12,"10.1007/s11023-011-9261-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874645336&doi=10.1007%2fs11023-011-9261-z&partnerID=40&md5=a7343fb8c784c5860605119a4e7eed3b","Department of Philosophy, Lingnan University, Tuen Mun, NT, Hong Kong","Zhang, J., Department of Philosophy, Lingnan University, Tuen Mun, NT, Hong Kong","In the artificial intelligence literature a promising approach to counterfactual reasoning is to interpret counterfactual conditionals based on causal models. Different logics of such causal counterfactuals have been developed with respect to different classes of causal models. In this paper I characterize the class of causal models that are Lewisian in the sense that they validate the principles in Lewis's well-known logic of counterfactuals. I then develop a system sound and complete with respect to this class. The resulting logic is the weakest logic of causal counterfactuals that respects Lewis's principles, sits in between the logic developed by Galles and Pearl and the logic developed by Halpern, and stands to Galles and Pearl's logic in the same fashion as Lewis's stands to Stalnaker's. © 2011 Springer Science+Business Media B.V.","Causal models; Causal reasoning; Conditional logic; Counterfactual; Intervention","Artificial intelligence; Causal model; Causal reasoning; Conditional logic; Counterfactual; Intervention; Computer circuits",Article,"Final","",Scopus,2-s2.0-84874645336
"Tang Q., Shen Y., Hu C., Zeng J., Gong W.","34771926500;56196546400;56008280400;34772124300;23090822300;","Swarm Intelligence: Based Cooperation Optimization of Multi-Modal Functions",2013,"Cognitive Computation","5","1",,"48","55",,20,"10.1007/s12559-012-9144-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874559639&doi=10.1007%2fs12559-012-9144-5&partnerID=40&md5=23f08300a44032ba14184dcd493a827f","Department of Control Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Mathematics and Physics, China University of Geosciences, Wuhan, China; School of Computer, China University of Geosciences, Wuhan, China; School of Arts and Communication, China University of Geosciences, Wuhan, China","Tang, Q., Department of Control Science and Engineering, Huazhong University of Science and Technology, Wuhan, China, School of Mathematics and Physics, China University of Geosciences, Wuhan, China; Shen, Y., Department of Control Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; Hu, C., School of Computer, China University of Geosciences, Wuhan, China; Zeng, J., School of Arts and Communication, China University of Geosciences, Wuhan, China; Gong, W., School of Computer, China University of Geosciences, Wuhan, China","In this paper, an advanced particle swarm optimization algorithm (PSO) is proposed to solve multi-modal function optimization problems. Multiple swarms are used for parallel search, and an artificial repulsive potential field on local search space is set up to prevent multiple swarms converging to the same areas. In addition, this paper provides a theoretical analysis of the strategy of multi-swarm parallel search in algorithms. Finally, the proposed algorithm has been tested on three benchmark functions, and the results show a superior performance compared with other PSO variants. © 2012 Springer Science+Business Media, LLC.","Multi-swarm cooperation; Particle swarm optimization; Repulsive potential field","Benchmark functions; Local search spaces; Multi-modal functions; Multi-swarms; Multimodal function optimization; Multiple swarms; Parallel search; Particle swarm optimization algorithm; Repulsive potential fields; Swarm Intelligence; Algorithms; Artificial intelligence; Benchmarking; Particle swarm optimization (PSO)",Article,"Final","",Scopus,2-s2.0-84874559639
